time,open,high,low,close
2018-03-15T00:00:00Z,8184.01,8430,7650,8240.98
2018-03-16T00:00:00Z,8240.98,8611.64,7900,8260
2018-03-17T00:00:00Z,8260,8348.62,7721.99,7824.8
2018-03-18T00:00:00Z,7824.01,8317.4,7322,8189.99
2018-03-19T00:00:00Z,8189,8705.23,8088.4,8600
2018-03-20T00:00:00Z,8595.01,9050,8280,8909.98
2018-03-21T00:00:00Z,8909.96,9177.01,8750.6,8885
2018-03-22T00:00:00Z,8884.82,9100,8465.1,8722.9
2018-03-23T00:00:00Z,8720,8909,8269,8898.03
2018-03-24T00:00:00Z,8898.04,8999.95,8491,8546.86
2018-03-25T00:00:00Z,8531.25,8669.85,8365.77,8470.15
2018-03-26T00:00:00Z,8470.14,8514.89,7831,8134.23
2018-03-27T00:00:00Z,8134.22,8215.94,7730,7795.51
2018-03-28T00:00:00Z,7795.51,8109,7728,7949.3
2018-03-29T00:00:00Z,7949.3,7975,6941.11,7090.14
2018-03-30T00:00:00Z,7090.16,7292.43,6600.1,6840.23
2018-03-31T00:00:00Z,6840.24,7223.36,6777,6923.91
2018-04-01T00:00:00Z,6922,7049.98,6430,6813.01
2018-04-02T00:00:00Z,6813.01,7125,6765,7056
2018-04-03T00:00:00Z,7063.97,7520,7011.01,7405.21
2018-04-04T00:00:00Z,7405.21,7427.52,6707,6796.1
2018-04-05T00:00:00Z,6796.1,6902,6566.69,6770.76
2018-04-06T00:00:00Z,6770,6850,6500,6601.39
2018-04-07T00:00:00Z,6601.39,7070,6586.28,6895.8
2018-04-08T00:00:00Z,6895.81,7109.13,6880,7018
2018-04-09T00:00:00Z,7011.04,7185,6611,6782.72
2018-04-10T00:00:00Z,6781.55,6890,6656,6843.9
2018-04-11T00:00:00Z,6839.56,6990,6787,6953.79
2018-04-12T00:00:00Z,6953.78,8012.23,6743.2,7923
2018-04-13T00:00:00Z,7922.99,8233.39,7732,7877.41
2018-04-14T00:00:00Z,7877.48,8186,7810,7999.01
2018-04-15T00:00:00Z,8004,8429.54,7999.02,8355
2018-04-16T00:00:00Z,8355.07,8419,7867,8064.92
2018-04-17T00:00:00Z,8064.92,8173.7,7825.4,7885.02
2018-04-18T00:00:00Z,7890.96,8236.43,7868,8173
2018-04-19T00:00:00Z,8173.99,8296,8080,8278
2018-04-20T00:00:00Z,8273.84,8930,8177.09,8856.98
2018-04-21T00:00:00Z,8852.12,9035,8565,8915.31
2018-04-22T00:00:00Z,8915.31,9020.67,8727.68,8787.02
2018-04-23T00:00:00Z,8785.7,8985,8745,8934.01
2018-04-24T00:00:00Z,8934,9731.01,8922,9619.99
2018-04-25T00:00:00Z,9618.96,9759.82,8730,8869.99
2018-04-26T00:00:00Z,8869.99,9307.48,8651.62,9266
2018-04-27T00:00:00Z,9267.03,9395,8889,8915.35
2018-04-28T00:00:00Z,8915.35,9427.48,8870,9348
2018-04-29T00:00:00Z,9348,9570.51,9163.74,9419
2018-04-30T00:00:00Z,9417.04,9458.64,9124.99,9246.01
2018-05-01T00:00:00Z,9246.01,9248.99,8800.49,9071.48
2018-05-02T00:00:00Z,9071.48,9268,8970.2,9247.84
2018-05-03T00:00:00Z,9247.81,9844,9168.4,9750
2018-05-04T00:00:00Z,9750,9830.04,9520.85,9713.99
2018-05-05T00:00:00Z,9714,10020,9682,9864
2018-05-06T00:00:00Z,9863.99,9970,9417.03,9659.01
2018-05-07T00:00:00Z,9661.02,9689.67,9181,9365
2018-05-08T00:00:00Z,9365,9475.7,9060.54,9187.56
2018-05-09T00:00:00Z,9178,9390,8965,9310
2018-05-10T00:00:00Z,9310,9395.12,8970,9002.2
2018-05-11T00:00:00Z,9002.21,9016.8,8341,8400
2018-05-12T00:00:00Z,8405.94,8646.88,8153,8465.94
2018-05-13T00:00:00Z,8475.44,8763.36,8298,8679.71
2018-05-14T00:00:00Z,8679.71,8879.99,8277,8663.34
2018-05-15T00:00:00Z,8663.37,8859.99,8401.3,8462
2018-05-16T00:00:00Z,8462,8488,8083.01,8330
2018-05-17T00:00:00Z,8330,8464,7979,8041.46
2018-05-18T00:00:00Z,8038.82,8273.21,7911.9,8239.81
2018-05-19T00:00:00Z,8238.01,8390.8,8095.73,8233.49
2018-05-20T00:00:00Z,8233.49,8609,8163.9,8526.98
2018-05-21T00:00:00Z,8526.97,8595.31,8305,8381.24
2018-05-22T00:00:00Z,8386.89,8400.18,7935.11,7977.11
2018-05-23T00:00:00Z,7977.12,8031.9,7425,7501.95
2018-05-24T00:00:00Z,7501.95,7730.73,7266.99,7575.01
2018-05-25T00:00:00Z,7578.99,7649.55,7308.15,7457
2018-05-26T00:00:00Z,7456.99,7620,7300,7333.96
2018-05-27T00:00:00Z,7334,7400,7231.11,7338.99
2018-05-28T00:00:00Z,7338.99,7437,7058.02,7099
2018-05-29T00:00:00Z,7099,7540,7032.95,7461.29
2018-05-30T00:00:00Z,7467.98,7569,7260.5,7375.96
2018-05-31T00:00:00Z,7382.07,7699,7327.51,7485.01
2018-06-01T00:00:00Z,7485.01,7608.55,7355.54,7521.01
2018-06-02T00:00:00Z,7521.01,7697.33,7437,7640.03
2018-06-03T00:00:00Z,7636.81,7786.69,7600,7714.26
2018-06-04T00:00:00Z,7714.26,7760.52,7446.5,7487
2018-06-05T00:00:00Z,7487,7679.49,7358,7625
2018-06-06T00:00:00Z,7626.64,7699,7467.05,7658.84
2018-06-07T00:00:00Z,7658.79,7765,7620,7691.08
2018-06-08T00:00:00Z,7691.08,7703.5,7531,7603.44
2018-06-09T00:00:00Z,7603.44,7683.98,7450,7491.73
2018-06-10T00:00:00Z,7491.73,7491.73,6622.81,6764.99
2018-06-11T00:00:00Z,6765,6922,6610,6872
2018-06-12T00:00:00Z,6872,6890.51,6435,6530
2018-06-13T00:00:00Z,6530,6627.6,6118.68,6292.78
2018-06-14T00:00:00Z,6292.78,6720,6260,6635.98
2018-06-15T00:00:00Z,6638.67,6666.66,6362.31,6388.9
2018-06-16T00:00:00Z,6380.01,6560,6320.86,6483.98
2018-06-17T00:00:00Z,6482.5,6589.03,6422,6449.61
2018-06-18T00:00:00Z,6444.06,6794.38,6380,6712.46
2018-06-19T00:00:00Z,6711.39,6841.74,6653,6741.21
2018-06-20T00:00:00Z,6740,6817.23,6551.81,6761.51
2018-06-21T00:00:00Z,6763.21,6795,6672.57,6718.84
2018-06-22T00:00:00Z,6717.69,6733.97,5918.94,6045
2018-06-23T00:00:00Z,6045.92,6260,6008.48,6149.98
2018-06-24T00:00:00Z,6149.98,6259.8,5750,6136.97
2018-06-25T00:00:00Z,6137.95,6350,6061.97,6252
2018-06-26T00:00:00Z,6252,6272.54,6035,6070.78
2018-06-27T00:00:00Z,6065.89,6190.43,5971,6133.73
2018-06-28T00:00:00Z,6134.73,6173.01,5827,5853.98
2018-06-29T00:00:00Z,5851.01,6300,5780,6197.92
2018-06-30T00:00:00Z,6197.92,6528.99,6186.03,6390.07
